_id,device,timestamp,temperature,humidity,NH3,CO,NO2,CO2,cluster,kategori
693d02ae67adc5b89e184193,ESP8266-Sensors,2025-12-13|06:07:35,29.68,64.76,1.68,2.78,0.21,588.76,,
693d02ae67adc5b89e184194,ESP8266-Sensors,2025-12-13|06:07:41,30.47,68.16,0.61,0.66,0.47,499.61,,
693d02b267adc5b89e184195,ESP8266-Sensors,2025-12-13|06:07:46,27.35,53.09,0.7,0.51,0.37,489.06,,
693d02b767adc5b89e184196,ESP8266-Sensors,2025-12-13|06:07:51,26.36,56.48,0.92,4.35,0.85,532,,
693d02bc67adc5b89e184197,ESP8266-Sensors,2025-12-13|06:07:56,33.67,77.2,1.19,4.55,0.62,559.48,,
693d02c167adc5b89e184198,ESP8266-Sensors,2025-12-13|06:08:01,34.39,79.58,1.91,2.33,0.84,440.89,,
693d02c667adc5b89e184199,ESP8266-Sensors,2025-12-13|06:08:06,29.05,59.59,1.59,2.35,0.24,420.36,,
693d02cb67adc5b89e18419a,ESP8266-Sensors,2025-12-13|06:08:11,26.2,51.76,1.37,3.96,0.29,457.98,,
693d02d067adc5b89e18419b,ESP8266-Sensors,2025-12-13|06:08:16,30.63,85.1,0.54,2.27,0.97,408.45,,
693d02d567adc5b89e18419c,ESP8266-Sensors,2025-12-13|06:08:21,26.6,43.18,0.66,2.68,0.92,593.79,,
693d02da67adc5b89e18419d,ESP8266-Sensors,2025-12-13|06:08:26,28.48,45.02,1.89,1.01,0.84,521.56,,
693d02df67adc5b89e18419e,ESP8266-Sensors,2025-12-13|06:08:31,33.24,88.28,1.58,0.35,0.93,505.26,,
693d02e467adc5b89e18419f,ESP8266-Sensors,2025-12-13|06:08:36,29.65,72.82,1.28,4.45,0.56,421.48,,
693d02e96b13234aa5b2fea4,ESP8266-Sensors,2025-12-13|06:08:41,31.79,70.38,1.82,4.73,0.37,563.59,,
693d02ee6b13234aa5b2fea5,ESP8266-Sensors,2025-12-13|06:08:46,28.45,73.54,1.73,0.67,0.3,448,,
693d02f36b13234aa5b2fea6,ESP8266-Sensors,2025-12-13|06:08:51,32.51,86.74,0.98,3.8,0.38,527.73,,
693d02f86b13234aa5b2fea7,ESP8266-Sensors,2025-12-13|06:08:56,29.68,77.58,1.56,3.4,0.77,525.76,,
693d02fd6b13234aa5b2fea8,ESP8266-Sensors,2025-12-13|06:09:01,29.82,63.52,1.28,2.64,0.3,567.19,,
693d03026b13234aa5b2fea9,ESP8266-Sensors,2025-12-13|06:09:06,26.32,46.62,1.74,1.61,0.59,499.13,,
693d03076b13234aa5b2feaa,ESP8266-Sensors,2025-12-13|06:09:11,27.63,66.82,1.89,3.17,0.43,460.24,,
693d030c6b13234aa5b2feab,ESP8266-Sensors,2025-12-13|06:09:16,25.24,83.96,1.34,4.71,0.34,454.97,,
693d03116b13234aa5b2feac,ESP8266-Sensors,2025-12-13|06:09:21,30.71,54.16,1.56,0.15,0.87,516.7,,
693d03166b13234aa5b2fead,ESP8266-Sensors,2025-12-13|06:09:26,30.03,84.31,1.45,1.07,0.42,511.37,,
693d031b6b13234aa5b2feae,ESP8266-Sensors,2025-12-13|06:09:31,35,55.19,1.1,3.09,0.32,499.24,,
693d03206b13234aa5b2feaf,ESP8266-Sensors,2025-12-13|06:09:36,34.25,84.47,0.69,2.48,0.5,553.24,,
693d03256b13234aa5b2feb0,ESP8266-Sensors,2025-12-13|06:09:41,25.29,61.92,1.19,4.62,0.91,460.03,,
693d032a6b13234aa5b2feb1,ESP8266-Sensors,2025-12-13|06:09:46,29.99,70.49,1.68,0.95,0.68,558.96,,
693d032f6b13234aa5b2feb2,ESP8266-Sensors,2025-12-13|06:09:51,31.85,57.42,1.52,1.47,0.99,423.45,,
693d03346b13234aa5b2feb3,ESP8266-Sensors,2025-12-13|06:09:56,32.29,56.06,0.67,1.09,0.41,494.12,,
693d03396b13234aa5b2feb4,ESP8266-Sensors,2025-12-13|06:10:01,33.33,86.25,0.53,1.35,0.4,597.8,,
693d033e6b13234aa5b2feb5,ESP8266-Sensors,2025-12-13|06:10:06,28.01,58.96,1.73,1.05,0.45,418.44,,
693d03436b13234aa5b2feb6,ESP8266-Sensors,2025-12-13|06:10:11,25.19,67.88,1.2,4.77,0.25,493.68,,
